_RAJ2000,_DEJ2000,SDSS,z,F1.4GHz,F[OIII],rmag,Dn,sigma*,Cr,logLr,logL[OIII],logMBH,SimbadName,_RA,_DE
13 30 38.0100,+39 08 15.400,J133038.01+390815.4,0.146,47.5,14.3,16.858,1.93,236,3.22,40.61,39.94,8.4,SDSS J133038.01+390815.4,202.65837,39.13761
13 45 29.5000,+05 49 52.900,J134529.50+054952.9,0.127,54.2,15.8,16.498,1.97,240,3.21,40.53,39.85,8.4,SDSS J134529.50+054952.9,206.37292,5.83136
13 47 45.1900,+50 32 03.500,J134745.19+503203.5,0.15,18.2,1.3,16.204,2.06,244,3.35,40.21,38.91,8.5,SDSS J134745.19+503203.5,206.93829,50.53431
13 52 14.5600,+12 34 01.700,J135214.56+123401.7,0.145,11.0,,16.729,2.02,239,3.44,39.96,,8.4,SDSS J135214.56+123401.7,208.06067,12.56714
13 53 02.0400,+33 05 28.500,J135302.04+330528.5,0.061,80.0,22.1,14.703,1.93,208,3.24,40.03,39.32,8.2,SDSS J135302.04+330528.5,208.2585,33.09125
13 55 11.3400,+24 24 15.600,J135511.34+242415.6,0.137,16.1,4.1,16.713,1.9,270,3.08,40.08,39.34,8.7,SDSS J135511.34+242415.6,208.79725,24.40433
13 55 53.6300,+26 22 17.900,J135553.63+262217.9,0.141,69.8,6.9,15.904,1.94,294,3.17,40.74,39.59,8.8,SDSS J135553.63+262217.9,208.97346,26.37164
13 56 55.2800,+27 11 20.200,J135655.28+271120.2,0.141,16.3,13.5,16.061,1.93,253,3.06,40.11,39.88,8.5,SDSS J135655.28+271120.2,209.23033,27.18894
14 03 13.2800,+06 10 08.200,J140313.28+061008.2,0.083,256.6,76.9,15.097,1.87,340,3.23,40.81,40.14,9.1,SDSS J140313.28+061008.2,210.80533,6.16894
14 09 16.7400,+06 01 39.400,J140916.74+060139.4,0.139,10.8,25.3,16.844,1.91,218,3.37,39.92,40.14,8.3,SDSS J140916.74+060139.4,212.31975,6.02761
14 11 38.2200,+49 53 04.000,J141138.22+495304.0,0.129,27.5,16.5,16.478,2.12,230,3.1,40.25,39.88,8.4,SDSS J141138.22+495304.0,212.90925,49.88444
14 12 43.8300,+49 52 06.500,J141243.83+495206.5,0.077,101.4,24.0,14.643,2.04,303,3.23,40.35,39.58,8.9,SDSS J141243.83+495206.5,213.18262,49.86847
